City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Burpengary,AU,2021-09-23 04:46:39,-27.1575,152.9576,78.87,39,0,8.61
211,Beitbridge,ZW,2021-09-23 04:46:41,-22.2167,30.0,58.96,73,0,15.95
212,Teya,RU,2021-09-23 04:46:42,60.3778,92.6267,35.56,85,100,9.64
213,Lazaro Cardenas,MX,2021-09-23 04:46:42,17.9583,-102.2,78.53,90,28,3.56
214,Atripalda,IT,2021-09-23 04:46:43,40.9158,14.8246,64.8,72,22,5.35
215,Namatanai,PG,2021-09-23 04:46:44,-3.6667,152.4333,83.46,71,82,6.15
216,Tual,ID,2021-09-23 04:43:51,-5.6667,132.75,79.52,81,46,17.94
217,Kathmandu,NP,2021-09-23 04:46:47,27.7167,85.3167,75.42,78,75,2.3
218,Mahibadhoo,MV,2021-09-23 04:46:48,3.7833,72.9667,83.75,75,100,13.73
219,Portland,US,2021-09-23 04:37:46,45.5234,-122.6762,65.44,81,90,1.99
220,Honningsvag,NO,2021-09-23 04:46:49,70.9821,25.9704,46.15,81,75,20.71
221,Homer,US,2021-09-23 04:42:48,59.6425,-151.5483,46.29,55,75,3.44
222,Bahar,IR,2021-09-23 04:46:51,34.9072,48.4414,57.36,26,0,0.0
223,Narsaq,GL,2021-09-23 04:46:52,60.9167,-46.05,39.42,94,100,6.53
224,Charlestown,AU,2021-09-23 04:46:53,-32.95,151.6667,83.93,32,1,9.66
225,Prince George,CA,2021-09-23 04:46:54,53.9166,-122.753,52.25,55,1,1.99
226,Cariati,IT,2021-09-23 04:46:56,39.4922,16.9594,58.89,62,2,21.41
227,Cabedelo,BR,2021-09-23 04:46:57,-6.9811,-34.8339,74.07,85,22,5.64
228,Besancon,FR,2021-09-23 04:46:58,47.2488,6.0182,52.14,100,71,2.28
229,Changping,CN,2021-09-23 04:47:00,40.2186,116.2197,80.24,61,71,5.41
230,Brae,GB,2021-09-23 04:47:01,60.3964,-1.353,53.51,74,100,33.49
